City,Zip Code,County,Latitude,Longitude
Rutherford,7070,Bergen,40.828922,-74.11064
Lyndhurst,7071,Bergen,40.808415999999994,-74.12111
Carlstadt,7072,Bergen,40.836555,-74.08466
East Rutherford,7073,Bergen,40.830158000000004,-74.09707
Moonachie,7074,Bergen,40.841668,-74.059
Wood Ridge,7075,Bergen,40.847638,-74.08754
Scotch Plains,7076,Union,40.637152,-74.37493
Sewaren,7077,Middlesex,40.553971000000004,-74.25938000000001
Short Hills,7078,Essex,40.73915,-74.32749
South Orange,7079,Essex,40.74765,-74.25881
South Plainfield,7080,Middlesex,40.580703,-74.41401
Springfield,7081,Union,40.701801,-74.32216
Towaco,7082,Morris,40.92241,-74.34625
Union,7083,Union,40.695401000000004,-74.26933000000001
Weehawken,7086,Hudson,40.769796,-74.022351
Union City,7087,Hudson,40.767751000000004,-74.0302
Vauxhall,7088,Union,40.718401,-74.28416
Westfield,7090,Union,40.649202,-74.34567
Mountainside,7092,Union,40.680301,-74.35601
West New York,7093,Hudson,40.7895,-74.01223
Secaucus,7094,Hudson,40.7885,-74.06
Woodbridge,7095,Middlesex,40.557103999999995,-74.28316
Jersey City,7097,Hudson,40.73276,-74.075485
Newark,7101,Essex,40.736101,-74.22509000000001
Belleville,7109,Essex,40.7935,-74.16144
Nutley,7110,Essex,40.8196,-74.15876999999999
Irvington,7111,Essex,40.725651,-74.23207
Elizabeth,7201,Union,40.669502,-74.19889
Roselle,7203,Union,40.653502,-74.26058
Roselle Park,7204,Union,40.665552000000005,-74.26768
Hillside,7205,Union,40.695552,-74.22856
Allendale,7401,Bergen,41.031504999999996,-74.13409
Bloomingdale,7403,Passaic,41.014497,-74.33021
Butler,7405,Morris,40.99313,-74.35893
Elmwood Park,7407,Bergen,40.905639,-74.1199
Fair Lawn,7410,Bergen,40.933943,-74.11671
Franklin,7416,Sussex,41.11736,-74.58784
Franklin Lakes,7417,Bergen,41.010433,-74.20846999999999
Glenwood,7418,Sussex,41.232344,-74.48688
Hamburg,7419,Sussex,41.156187,-74.57094000000001
Haskell,7420,Passaic,41.026747,-74.29741999999999
Hewitt,7421,Passaic,41.173445,-74.37404000000001
Highland Lakes,7422,Sussex,41.180137,-74.45489
Ho Ho Kus,7423,Bergen,41.001695,-74.10239
Little Falls,7424,Passaic,40.886628,-74.21405
Mc Afee,7428,Sussex,41.181052,-74.51796
Mahwah,7430,Bergen,41.077102000000004,-74.16147
Midland Park,7432,Bergen,40.993120000000005,-74.14286
Newfoundland,7435,Passaic,41.045897,-74.43677
Oakland,7436,Bergen,41.028884000000005,-74.23727
Oak Ridge,7438,Passaic,41.029555,-74.5071
Ogdensburg,7439,Sussex,41.080065999999995,-74.5972
Pequannock,7440,Morris,40.946748,-74.29575
Pompton Lakes,7442,Passaic,40.99948,-74.28806999999999
Pompton Plains,7444,Morris,40.964548,-74.29813
Ramsey,7446,Bergen,41.058819,-74.14238
Ridgewood,7450,Bergen,40.983996999999995,-74.11438000000001
Glen Rock,7452,Bergen,40.961109,-74.12576
Ringwood,7456,Passaic,41.096095,-74.26012
Riverdale,7457,Morris,40.990032,-74.31023
Saddle River,7458,Bergen,41.054567999999996,-74.09616
Stockholm,7460,Sussex,41.091254,-74.52081
Sussex,7461,Sussex,41.229754,-74.60203
Vernon,7462,Sussex,41.193708,-74.5089
Waldwick,7463,Bergen,41.013109,-74.12231
Wanaque,7465,Passaic,41.052958000000004,-74.28236
Wayne,7470,Passaic,40.943608000000005,-74.25004
West Milford,7480,Passaic,41.102569,-74.37047
Wyckoff,7481,Bergen,40.998583,-74.1671
Paterson,7501,Passaic,40.912198,-74.16863000000001
Hawthorne,7506,Passaic,40.957498,-74.15626999999999
Haledon,7508,Passaic,40.945198,-74.18285999999999
Totowa,7511,Passaic,41.011428,-74.304793
Hackensack,7601,Bergen,40.888678000000006,-74.0488
Bogota,7603,Bergen,40.873876,-74.02769
Hasbrouck Heights,7604,Bergen,40.86289,-74.07506
Leonia,7605,Bergen,40.862685,-73.98550999999999
South Hackensack,7606,Bergen,40.863699,-74.04643
Maywood,7607,Bergen,40.90503,-74.06279
Teterboro,7608,Bergen,40.853722999999995,-74.05986999999999
Alpine,7620,Bergen,40.952814000000004,-73.93064
Bergenfield,7621,Bergen,40.923747999999996,-73.99879
Closter,7624,Bergen,40.971956,-73.96166
Cresskill,7626,Bergen,40.942074,-73.96504
Demarest,7627,Bergen,40.955603,-73.96044
Dumont,7628,Bergen,40.945173,-73.99342
Emerson,7630,Bergen,40.97514,-74.02725
Englewood,7631,Bergen,40.893343,-73.9758
Englewood Cliffs,7632,Bergen,40.883749,-73.95173
Harrington Park,7640,Bergen,40.989357,-73.97958
Haworth,7641,Bergen,40.958573,-73.98659
Hillsdale,7642,Bergen,41.007389,-74.04247
Little Ferry,7643,Bergen,40.850621000000004,-74.04111999999999
Lodi,7644,Bergen,40.877998999999996,-74.08265
Montvale,7645,Bergen,41.048997,-74.04052
New Milford,7646,Bergen,40.936211,-74.0188
Northvale,7647,Bergen,41.009414,-73.94849
Norwood,7648,Bergen,40.994442,-73.95586
Oradell,7649,Bergen,40.953126,-74.03379
Palisades Park,7650,Bergen,40.845742,-73.99479000000001
Paramus,7652,Bergen,40.947107,-74.07047
Park Ridge,7656,Bergen,41.034672,-74.04065
Ridgefield,7657,Bergen,40.832421000000004,-74.00399
Ridgefield Park,7660,Bergen,40.856749,-74.02278000000001
River Edge,7661,Bergen,40.927578999999994,-74.03739
Rochelle Park,7662,Bergen,40.906553,-74.07797
Saddle Brook,7663,Bergen,40.904131,-74.09474
Teaneck,7666,Bergen,40.890964000000004,-74.01115
Tenafly,7670,Bergen,40.921690000000005,-73.96481999999999
Westwood,7675,Bergen,40.99904,-74.03291
Township Of Washington,7676,Bergen,40.989508,-74.061302
Woodcliff Lake,7677,Bergen,41.025101,-74.059762
Red Bank,7701,Monmouth,40.352953,-74.07703000000001
Shrewsbury,7702,Monmouth,40.329128000000004,-74.06315
Fort Monmouth,7703,Monmouth,40.309121000000005,-74.0486
Fair Haven,7704,Monmouth,40.360580999999996,-74.03738
Adelphia,7710,Monmouth,40.302718,-74.24928
Allenhurst,7711,Monmouth,40.236916,-74.0069
Asbury Park,7712,Monmouth,40.232713000000004,-74.03143
Belmar,7715,Monmouth,40.302718,-74.24928
Atlantic Highlands,7716,Monmouth,40.407958,-74.03483
Avon By The Sea,7717,Monmouth,40.191809,-74.01688
Belford,7718,Monmouth,40.415902,-74.08689
Bradley Beach,7720,Monmouth,40.202113,-74.01353
Cliffwood,7721,Monmouth,40.435961,-74.23734
Colts Neck,7722,Monmouth,40.300226,-74.18306
Deal,7723,Monmouth,40.250104,-74.00153
Eatontown,7724,Monmouth,40.301978999999996,-74.06889
Englishtown,7726,Monmouth,40.294244,-74.34213000000001
Farmingdale,7727,Monmouth,40.205366999999995,-74.15767
Freehold,7728,Monmouth,40.241036,-74.27629
Hazlet,7730,Monmouth,40.423297999999996,-74.179
Howell,7731,Monmouth,40.146597,-74.20815
Highlands,7732,Monmouth,40.404474,-73.9904
Holmdel,7733,Monmouth,40.384832,-74.17194
Keansburg,7734,Monmouth,40.444407,-74.13298
Keyport,7735,Monmouth,40.439714,-74.19374
Leonardo,7737,Monmouth,40.416771999999995,-74.06058
Lincroft,7738,Monmouth,40.337374,-74.12059
Little Silver,7739,Monmouth,40.33517,-74.04059000000001
Long Branch,7740,Monmouth,40.297932,-73.99096999999999
Marlboro,7746,Monmouth,40.316876,-74.26111999999999
Matawan,7747,Monmouth,40.411102,-74.23767
Middletown,7748,Monmouth,40.410213,-74.11718
Monmouth Beach,7750,Monmouth,40.332877,-73.97986
Morganville,7751,Monmouth,40.361014000000004,-74.26595
Navesink,7752,Monmouth,40.402277000000005,-74.02728499999999
Neptune,7753,Monmouth,40.208945,-74.05261
Oakhurst,7755,Monmouth,40.263575,-74.02176
Ocean Grove,7756,Monmouth,40.211982,-74.00916
Oceanport,7757,Monmouth,40.318115,-74.01239
Port Monmouth,7758,Monmouth,40.427561,-74.1069
Rumson,7760,Monmouth,40.369145,-73.99576
Spring Lake,7762,Monmouth,40.153024,-74.03372
Tennent,7763,Monmouth,40.302718,-74.24928
West Long Branch,7764,Monmouth,40.289984999999994,-74.01671
Wickatunk,7765,Monmouth,40.302718,-74.24928
Dover,7801,Morris,40.889165999999996,-74.55462
Mine Hill,7803,Morris,40.878785,-74.60098
Picatinny Arsenal,7806,Morris,40.867331,-74.57826899999999
Allamuchy,7820,Warren,40.869648,-74.849661
Andover,7821,Sussex,40.966308000000005,-74.74298
Augusta,7822,Sussex,41.139545,-74.6993
Belvidere,7823,Warren,40.82383,-75.04585
Blairstown,7825,Warren,40.96035,-74.96243
Branchville,7826,Sussex,41.177457000000004,-74.75904
Montague,7827,Sussex,41.300062,-74.76058
Budd Lake,7828,Morris,40.878198,-74.73875
Buttzville,7829,Warren,40.84335,-74.98591400000001
Califon,7830,Hunterdon,40.723778,-74.81866
Changewater,7831,Warren,40.739382,-74.94475600000001
Columbia,7832,Warren,40.929759999999995,-75.06193
Delaware,7833,Warren,40.895451,-75.06752
Denville,7834,Morris,40.886148999999996,-74.48704000000001
Flanders,7836,Morris,40.84405,-74.70134
Glasser,7837,Sussex,41.12831,-74.678956
Great Meadows,7838,Warren,40.886474,-74.90089
Greendell,7839,Sussex,41.12831,-74.678956
Hackettstown,7840,Warren,40.861748,-74.83054
Hibernia,7842,Morris,40.940301,-74.49616999999999
Hopatcong,7843,Sussex,40.937206,-74.66147
Hope,7844,Warren,40.919658,-74.984628
Ironia,7845,Morris,40.867331,-74.57826899999999
Johnsonburg,7846,Warren,40.966266,-74.87979
Kenvil,7847,Morris,40.88038,-74.62009
Lafayette,7848,Sussex,41.094159000000005,-74.69036
Lake Hopatcong,7849,Morris,40.963959,-74.61414
Landing,7850,Morris,40.908198,-74.65749
Layton,7851,Sussex,41.172968,-74.88301
Ledgewood,7852,Morris,40.876349,-74.65769
Long Valley,7853,Morris,40.788599,-74.78295
Middleville,7855,Sussex,41.12831,-74.678956
Mount Arlington,7856,Morris,40.919498,-74.63559000000001
Netcong,7857,Morris,40.897397999999995,-74.70300999999999
Newton,7860,Sussex,41.0714,-74.80199
Oxford,7863,Warren,40.815107,-74.96802
Port Murray,7865,Warren,40.783175,-74.90934
Rockaway,7866,Morris,40.926798,-74.50624
Randolph,7869,Morris,40.847649,-74.5748
Schooleys Mountain,7870,Morris,40.810362,-74.81931800000001
Sparta,7871,Sussex,41.035384,-74.63557
Stanhope,7874,Sussex,40.917054,-74.71053
Stillwater,7875,Sussex,41.043858,-74.871981
Succasunna,7876,Morris,40.855548999999996,-74.65250999999999
Swartswood,7877,Sussex,41.10289,-74.850759
Mount Tabor,7878,Morris,40.872865999999995,-74.47843
Tranquility,7879,Sussex,40.955934,-74.788108
Vienna,7880,Warren,40.864844,-74.897002
Wallpack Center,7881,Sussex,41.125646,-74.917711
Washington,7882,Warren,40.753753,-74.99616999999999
Wharton,7885,Morris,40.913298,-74.58246
Summit,7901,Union,40.714501,-74.3633
Basking Ridge,7920,Somerset,40.6789,-74.57039
Bedminster,7921,Somerset,40.652301,-74.653
Berkeley Heights,7922,Union,40.675112,-74.43459
Bernardsville,7924,Somerset,40.723440000000004,-74.57753000000001
Brookside,7926,Morris,40.800353,-74.57178499999999
Cedar Knolls,7927,Morris,40.821149,-74.45121
Chatham,7928,Morris,40.7332,-74.39735999999999
Chester,7930,Morris,40.786549,-74.68799
Far Hills,7931,Somerset,40.696601,-74.63781
Florham Park,7932,Morris,40.77835,-74.39009
Gillette,7933,Morris,40.683934,-74.47079000000001
Gladstone,7934,Somerset,40.72265,-74.67432
Green Village,7935,Morris,40.739333,-74.45631
East Hanover,7936,Morris,40.820012,-74.36474
Liberty Corner,7938,Somerset,40.655398999999996,-74.586151
Lyons,7939,Somerset,40.566553000000006,-74.599801
Madison,7940,Morris,40.75875,-74.41609
Mendham,7945,Morris,40.782767,-74.59529
Millington,7946,Morris,40.672823,-74.52011
Greystone Park,7950,Morris,40.842399,-74.48223
Morris Plains,7950,Morris,40.842399,-74.48223
Morristown,7960,Morris,40.79215,-74.48559
Mount Freedom,7970,Morris,40.813280999999996,-74.57267
New Providence,7974,Union,40.698268,-74.40225
New Vernon,7976,Morris,40.733739,-74.48850999999999
Peapack,7977,Somerset,40.707505,-74.65657
Pluckemin,7978,Somerset,40.642491,-74.639597
Pottersville,7979,Hunterdon,40.713675,-74.72465
Stirling,7980,Morris,40.672968,-74.49171
Whippany,7981,Morris,40.821482,-74.42648
Alloway,8001,Salem,39.559426,-75.3631
Cherry Hill,8002,Camden,39.932279,-75.02266
Atco,8004,Camden,39.769357,-74.87264
Barnegat,8005,Ocean,39.759581,-74.27398000000001
Barnegat Light,8006,Ocean,39.75196,-74.11074
Barrington,8007,Camden,39.868013,-75.05424000000001
Beach Haven,8008,Ocean,39.614596,-74.2005
Berlin,8009,Camden,39.779582,-74.9365
Beverly,8010,Burlington,40.058211,-74.91404
Birmingham,8011,Burlington,39.978635,-74.71323000000001
Blackwood,8012,Camden,39.784614000000005,-75.05678
Bridgeport,8014,Gloucester,39.803646,-75.34421
Browns Mills,8015,Burlington,39.960596,-74.5606
Burlington,8016,Burlington,40.06834,-74.84463000000001
Cedar Brook,8018,Camden,39.80237,-74.938259
Chatsworth,8019,Burlington,39.777314000000004,-74.5354
Clarksboro,8020,Gloucester,39.800958,-75.2211
Clementon,8021,Camden,39.810485,-74.99574
Columbus,8022,Burlington,40.079952,-74.70684
Deepwater,8023,Salem,39.683577,-75.48931999999999
Ewan,8025,Gloucester,39.701526,-75.162903
Gibbsboro,8026,Camden,39.833847,-74.96899
Gibbstown,8027,Gloucester,39.824159,-75.28187
Glassboro,8028,Gloucester,39.700008000000004,-75.11950999999999
Glendora,8029,Camden,39.840463,-75.0687
Gloucester City,8030,Camden,39.891113,-75.11836
Bellmawr,8031,Camden,39.867013,-75.09161999999999
Grenloch,8032,Gloucester,39.781264,-75.0609
Haddonfield,8033,Camden,39.895213,-75.04019
Haddon Heights,8035,Camden,39.879129999999996,-75.06599
Hainesport,8036,Burlington,39.985662,-74.83044
Hammonton,8037,Atlantic,39.625291,-74.77705
Hancocks Bridge,8038,Salem,39.481009,-75.50618
Harrisonville,8039,Gloucester,39.685445,-75.2669
Jobstown,8041,Burlington,40.038339,-74.6806
Juliustown,8042,Burlington,40.018503,-74.66656
Voorhees,8043,Camden,39.851969,-74.96128
Lawnside,8045,Camden,39.866513,-75.03197
Willingboro,8046,Burlington,40.029011,-74.88257
Lumberton,8048,Burlington,39.967013,-74.80666
Magnolia,8049,Camden,39.85478,-75.03671
Manahawkin,8050,Ocean,39.707575,-74.25933
Mantua,8051,Gloucester,39.785785,-75.17761
Maple Shade,8052,Burlington,39.952212,-74.99464
Marlton,8053,Burlington,39.884879999999995,-74.90416
Mount Laurel,8054,Burlington,39.949446,-74.90342
Medford,8055,Burlington,39.865272,-74.8185
Mickleton,8056,Gloucester,39.785219,-75.25304
Moorestown,8057,Burlington,39.968962,-74.9489
Mount Ephraim,8059,Camden,39.884263,-75.0923
Mount Holly,8060,Burlington,39.991562,-74.79746999999999
Mount Royal,8061,Gloucester,39.807684,-75.20496
Mullica Hill,8062,Gloucester,39.716939,-75.21987
National Park,8063,Gloucester,39.867158,-75.1802
New Lisbon,8064,Burlington,39.961921000000004,-74.63687
Palmyra,8065,Burlington,40.00278,-75.02626
Paulsboro,8066,Gloucester,39.833156,-75.23773
Pedricktown,8067,Salem,39.740353000000006,-75.41261999999999
Pemberton,8068,Burlington,39.961183,-74.66266
Penns Grove,8069,Salem,39.712593,-75.46906
Pennsville,8070,Salem,39.645377,-75.51923000000001
Pitman,8071,Gloucester,39.730964,-75.13009
Quinton,8072,Salem,39.546172,-75.41367
Rancocas,8073,Burlington,40.010461,-74.86762
Richwood,8074,Gloucester,39.716194,-75.17326
Riverside,8075,Burlington,40.029361,-74.9541
Riverton,8076,Burlington,39.862433,-74.72507900000001
Runnemede,8078,Camden,39.850013,-75.0767
Salem,8079,Salem,39.549912,-75.43943
Sewell,8080,Gloucester,39.74953,-75.10637
Sicklerville,8081,Camden,39.741385,-74.99035
Somerdale,8083,Camden,39.842613,-75.02496
Stratford,8084,Camden,39.829014,-75.01371
Swedesboro,8085,Gloucester,39.753088,-75.32687
Thorofare,8086,Gloucester,39.849156,-75.18159
Tuckerton,8087,Ocean,39.59899,-74.36573
Vincentown,8088,Burlington,39.871699,-74.70528
Waterford Works,8089,Camden,39.722621999999994,-74.8503
Wenonah,8090,Gloucester,39.799347,-75.15202
West Berlin,8091,Camden,39.807695,-74.93392
West Creek,8092,Ocean,39.658781,-74.28673
Westville,8093,Gloucester,39.861413,-75.13284
Williamstown,8094,Gloucester,39.647597999999995,-74.95926999999999
Winslow,8095,Camden,39.656976,-74.86043000000001
Deptford,8096,Gloucester,39.830313000000004,-75.13221
Woodbury,8096,Gloucester,39.830313000000004,-75.13221
Woodbury Heights,8097,Gloucester,39.816063,-75.15321
Woodstown,8098,Salem,39.637838,-75.32396
Camden,8101,Camden,39.80237,-74.938259
Haddon Township,8104,Camden,39.918663,-75.10976
Audubon,8106,Camden,39.892213,-75.07212
Oaklyn,8107,Camden,39.908163,-75.08618
Collingswood,8108,Camden,39.915263,-75.06401
Merchantville,8109,Camden,39.949979,-75.05024
Pennsauken,8110,Camden,39.966812,-75.05681
Absecon,8201,Atlantic,39.457516999999996,-74.50914
Avalon,8202,Cape May,39.092928,-74.72688000000001
Brigantine,8203,Atlantic,39.401801,-74.38016999999999
Cape May,8204,Cape May,38.963652,-74.92319
Cape May Court House,8210,Cape May,39.081754,-74.83658
Cape May Point,8212,Cape May,38.936896000000004,-74.96526
Cologne,8213,Atlantic,39.509208,-74.60855699999999
Dennisville,8214,Cape May,39.056521000000004,-74.81661899999999
Egg Harbor City,8215,Atlantic,39.548049,-74.62171
Elwood,8217,Atlantic,39.575272999999996,-74.72103
Goshen,8218,Cape May,39.056521000000004,-74.81661899999999
Green Creek,8219,Cape May,39.056521000000004,-74.81661899999999
Leeds Point,8220,Atlantic,39.509208,-74.60855699999999
Linwood,8221,Atlantic,39.348616,-74.57387
Marmora,8223,Cape May,39.264412,-74.64986
New Gretna,8224,Burlington,39.595957,-74.45628
Northfield,8225,Atlantic,39.370083,-74.55211
Ocean City,8226,Cape May,39.265371,-74.59380999999999
Ocean View,8230,Cape May,39.20877,-74.70438
Oceanville,8231,Atlantic,39.509208,-74.60855699999999
Pleasantville,8232,Atlantic,39.394616,-74.52212
Egg Harbor Township,8234,Atlantic,39.398171999999995,-74.59666999999999
Pomona,8240,Atlantic,39.487716999999996,-74.554334
Port Republic,8241,Atlantic,39.527903,-74.4917
Rio Grande,8242,Cape May,39.017837,-74.87515
Sea Isle City,8243,Cape May,39.145755,-74.69865
Somers Point,8244,Atlantic,39.319901,-74.5999
South Dennis,8245,Cape May,39.176208,-74.81723000000001
South Seaville,8246,Cape May,39.056521000000004,-74.81661899999999
Stone Harbor,8247,Cape May,39.051289000000004,-74.76204
Strathmere,8248,Cape May,39.197394,-74.65699000000001
Tuckahoe,8250,Cape May,39.056521000000004,-74.81661899999999
Villas,8251,Cape May,39.022256,-74.93616
Whitesboro,8252,Cape May,39.037403999999995,-74.85749
Wildwood,8260,Cape May,38.987556,-74.822
Woodbine,8270,Cape May,39.275059000000006,-74.80041
Bridgeton,8302,Cumberland,39.445164,-75.24215
Buena,8310,Atlantic,39.522686,-74.89684
Cedarville,8311,Cumberland,39.337205,-75.18576999999999
Clayton,8312,Gloucester,39.655964000000004,-75.08736
Deerfield Street,8313,Cumberland,39.530314000000004,-75.22901
Delmont,8314,Cumberland,39.219301,-74.94015999999999
Dividing Creek,8315,Cumberland,39.273214,-75.095025
Dorchester,8316,Cumberland,39.274714,-74.97546
Dorothy,8317,Atlantic,39.406518,-74.82706
Elmer,8318,Salem,39.553504,-75.16843
Estell Manor,8319,Atlantic,39.376099,-74.81456
Fairton,8320,Cumberland,39.379906,-75.221681
Fortescue,8321,Cumberland,39.239649,-75.17225
Franklinville,8322,Gloucester,39.618221999999996,-75.0618
Greenwich,8323,Cumberland,39.402763,-75.3574
Heislerville,8324,Cumberland,39.218484000000004,-74.99001
Landisville,8326,Atlantic,39.524179,-74.9385
Leesburg,8327,Cumberland,39.254836,-74.97766999999999
Malaga,8328,Gloucester,39.572449,-75.0543
Mauricetown,8329,Cumberland,39.285464000000005,-74.99687
Mays Landing,8330,Atlantic,39.478771,-74.7581
Millville,8332,Cumberland,39.379382,-75.03923
Milmay,8340,Atlantic,39.437265000000004,-74.87926
Minotola,8341,Atlantic,39.517539,-74.94972
Mizpah,8342,Atlantic,39.50208,-74.833469
Monroeville,8343,Salem,39.633964,-75.15643
Newfield,8344,Gloucester,39.562763000000004,-75.00955
Newport,8345,Cumberland,39.283409999999996,-75.15464
Newtonville,8346,Atlantic,39.562719,-74.85853
Norma,8347,Salem,39.499765000000004,-75.082022
Port Elizabeth,8348,Cumberland,39.314084,-74.97889
Port Norris,8349,Cumberland,39.256820000000005,-75.06683000000001
Richland,8350,Atlantic,39.490774,-74.87045
Rosenhayn,8352,Cumberland,39.475565,-75.12933000000001
Shiloh,8353,Cumberland,39.458114,-75.29760999999999
Vineland,8360,Cumberland,39.492265,-75.01886999999999
Atlantic City,8401,Atlantic,39.364965999999995,-74.43903
Margate City,8402,Atlantic,39.329415999999995,-74.50661
Longport,8403,Atlantic,39.314766,-74.52675
Ventnor City,8406,Atlantic,39.342299,-74.48192
Allentown,8501,Monmouth,40.164556,-74.57785
Belle Mead,8502,Somerset,40.460136999999996,-74.63592
Blawenburg,8504,Somerset,40.425369,-74.66875300000001
Bordentown,8505,Burlington,40.132784,-74.71778
Millstone Township,8510,Monmouth,40.18238,-74.42134
Cookstown,8511,Burlington,40.050128,-74.55611
Cranbury,8512,Middlesex,40.306286,-74.52627
Cream Ridge,8514,Monmouth,40.134892,-74.48688
Chesterfield,8515,Burlington,40.14821,-74.65125
Florence,8518,Burlington,40.117909999999995,-74.8047
Hightstown,8520,Mercer,40.262809000000004,-74.53246
Hopewell,8525,Mercer,40.386902,-74.78112
Imlaystown,8526,Monmouth,40.162275,-74.475936
Jackson,8527,Ocean,40.115970000000004,-74.32251
Kingston,8528,Somerset,40.377173,-74.61538
Lambertville,8530,Hunterdon,40.375039,-74.93184000000001
New Egypt,8533,Ocean,40.075185,-74.48433
Pennington,8534,Mercer,40.32315,-74.78364
Perrineville,8535,Monmouth,40.228497,-74.45064
Plainsboro,8536,Middlesex,40.333709999999996,-74.58511999999999
Princeton,8540,Mercer,40.357439,-74.64922
Princeton Junction,8550,Mercer,40.292358,-74.60902
Ringoes,8551,Hunterdon,40.449171,-74.84979
Rocky Hill,8553,Somerset,40.400406,-74.63895
Roebling,8554,Burlington,40.113883,-74.77977
Roosevelt,8555,Monmouth,40.22142,-74.47378
Rosemont,8556,Hunterdon,40.419965000000005,-74.988619
Sergeantsville,8557,Hunterdon,40.563654,-74.949409
Skillman,8558,Somerset,40.410154999999996,-74.70725999999999
Stockton,8559,Hunterdon,40.435878,-74.96511
Titusville,8560,Mercer,40.31049,-74.85947
Windsor,8561,Mercer,40.242009,-74.58006
Wrightstown,8562,Burlington,40.062215,-74.58893
Trenton,8601,Mercer,40.280530999999996,-74.712018
Fort Dix,8640,Burlington,40.003861,-74.61775
Lakewood,8701,Ocean,40.082782,-74.2094
Allenwood,8720,Monmouth,40.14386,-74.10285999999999
Bayville,8721,Ocean,39.902851,-74.16037
Beachwood,8722,Ocean,39.931067999999996,-74.19618
Brick,8723,Ocean,40.042479,-74.123
Brielle,8730,Monmouth,40.108433000000005,-74.06226
Forked River,8731,Ocean,39.848034999999996,-74.21297
Island Heights,8732,Ocean,39.942615999999994,-74.14689
Lakehurst,8733,Ocean,40.017117,-74.30490999999999
Lanoka Harbor,8734,Ocean,39.862864,-74.16624
Lavallette,8735,Ocean,39.982101,-74.06768000000001
Manasquan,8736,Monmouth,40.120261,-74.05765
Mantoloking,8738,Ocean,40.025258,-74.05579
Normandy Beach,8739,Ocean,40.000759,-74.24928
Ocean Gate,8740,Ocean,39.925301,-74.13488000000001
Pine Beach,8741,Ocean,39.934318,-74.16773
Point Pleasant Beach,8742,Ocean,40.081165000000006,-74.06003
Sea Girt,8750,Monmouth,40.133753999999996,-74.04123
Seaside Heights,8751,Ocean,39.948518,-74.0759
Seaside Park,8752,Ocean,39.920268,-74.07967
Toms River,8753,Ocean,39.974584,-74.15141
Waretown,8758,Ocean,39.784513000000004,-74.22376
Manchester Township,8759,Ocean,39.943540999999996,-74.36949
Annandale,8801,Hunterdon,40.624538,-74.89118
Asbury,8802,Hunterdon,40.661172,-75.0321
Baptistown,8803,Hunterdon,40.563654,-74.949409
Bloomsbury,8804,Hunterdon,40.652484,-75.08959
Bound Brook,8805,Somerset,40.567953,-74.54034
Bridgewater,8807,Somerset,40.588097,-74.62253
Broadway,8808,Warren,40.737213,-75.046926
Clinton,8809,Hunterdon,40.639546,-74.91292
Dayton,8810,Middlesex,40.372881,-74.51363
Dunellen,8812,Middlesex,40.594502,-74.47166
East Brunswick,8816,Middlesex,40.434239,-74.40504
